Scope,Tensor,Shape / Params,Details
Layer 34,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 34,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 34,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 34,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 34,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 34,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 35,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 35,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 35,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 35,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 35,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 35,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 35,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 35,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 35,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 35,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 35,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 36,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 36,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 36,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 36,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 36,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 36,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 36,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 36,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 36,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 36,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 36,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 37,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 37,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 37,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 37,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 37,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 37,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 37,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 37,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 37,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 37,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 37,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 38,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 38,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 38,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 38,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 38,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 38,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 38,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 38,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 38,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 38,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 38,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Layer 39,self_attn.q_norm.weight,5120,Query RMSNorm scale
Layer 39,self_attn.k_norm.weight,5120,Key RMSNorm scale
Layer 39,self_attn.q_proj.weight,5120 x 5120,"Projects hidden -> heads (40x128), rotary_dim=128"
Layer 39,self_attn.k_proj.weight,5120 x 5120,"KV projection, heads=40"
Layer 39,self_attn.v_proj.weight,5120 x 5120,Value projection
Layer 39,self_attn.o_proj.weight,5120 x 5120,Output projection (concats heads)
Layer 39,post_attention_layernorm.weight,5120,RMSNorm after attention residual
Layer 39,mlp.gate_proj.weight,13824 x 5120,FFN gate (silu)
Layer 39,mlp.up_proj.weight,13824 x 5120,FFN up projection
Layer 39,mlp.down_proj.weight,5120 x 13824,FFN down projection
Layer 39,post_feedforward_layernorm.weight,5120,RMSNorm after FFN residual
Output,model.norm.weight,5120,Final RMSNorm before logits
Output,lm_head.weight,100352 x 5120,Logit projection
